record_number,federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,provider_phone_number,provider_ssa_county_code,provider_county_name,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,rn_staffing_rating,rn_staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,reported_physical_therapist_staffing_hours_per_resident_per_day,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_number_of_complaint_health_deficiencies,rating_cycle_2_health_deficiency_score,rating_cycle_2_number_of_health_revisits,rating_cycle_2_health_revisit_score,rating_cycle_2_total_health_score,rating_cycle_3_standard_health_survey_date,rating_cycle_3_total_number_of_health_deficiencies,rating_cycle_3_number_of_standard_health_deficiencies,rating_cycle_3_number_of_complaint_health_deficiencies,rating_cycle_3_health_deficiency_score,rating_cycle_3_number_of_health_revisits,rating_cycle_3_health_revisit_score,rating_cycle_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,processing_date,County,County_Code,FIPS,nurse_aide_hours_per_week,lpn_hours_per_week,rn_hours_per_week,physical_therapist_hours_per_week,total_staff_hours_per_week
45791,345013,PEAK RESOURCES - CHARLOTTE,3223 CENTRAL AVENUE,CHARLOTTE,NC,28205,7047491100,590,Mecklenburg,For profit - Corporation,142,110.8,,Medicare and Medicaid,N,"PARK VILLAGE REHAB AND HEALTH, INC.",1968-06-01,N,,N,N,N,Resident,Yes,1,,1,,4,,4,,5,,2,,2,,,,2.02712,0.78738,0.45797,1.24534,3.27246,0.00635,2.09248,0.79419,0.42844,3.31512,1.99222,0.73492,0.40788,3.13842,2021-05-28,5,1,4,149,1,0,149,2020-02-14,8,6,3,36,1,0,36,2019-02-07,2,2,1,8,1,0,8,87.833,1,10,1,1,2013,1,2,"3223 CENTRAL AVENUE,CHARLOTTE,NC,28205",2021-10-01,Mecklenburg,119,37119,1572,611,355,5,2543
45796,345014,"ACCORDIUS HEALTH AT GREENSBORO, LLC",1201 CAROLINA STREET,GREENSBORO,NC,27401,3365225700,400,Guilford,For profit - Corporation,105,67.6,,Medicare and Medicaid,N,ACCORDIUS HEALTH AT GREENSBORO LLC,1980-12-01,N,,N,N,N,Resident,Yes,3,,2,,5,,4,,5,,2,,2,,,,2.06053,0.81236,0.37654,1.18890,3.24943,0.04008,1.92701,0.79226,0.40830,3.12757,2.19895,0.76010,0.35190,3.30321,2021-05-28,9,6,3,48,1,0,48,2019-09-27,13,13,0,52,2,26,78,2018-11-16,9,8,5,32,1,0,32,55.333,2,8,1,1,15184,1,2,"1201 CAROLINA STREET,GREENSBORO,NC,27401",2021-10-01,Guilford,81,37081,975,384,178,19,1556
45801,345015,CLAPP'S CONVALESCENT NURSING HOME INC,500 MOUNTAIN TOP DRIVE,ASHEBORO,NC,27203,3366252074,750,Randolph,For profit - Corporation,96,85.7,,Medicare and Medicaid,N,"CLAPP'S CONVALESCENT NURSING HOME, INC.",1967-01-01,N,,N,Y,N,Resident,Yes,2,,1,,5,,4,,5,,2,,2,,,,2.20276,1.00504,0.36078,1.36581,3.56857,0.10174,2.05696,0.72395,0.34774,3.12866,2.20222,1.02910,0.39589,3.62636,2019-07-25,10,8,2,40,1,0,40,2018-05-24,15,15,0,96,2,48,144,2017-04-19,11,11,0,48,1,0,48,76.000,0,1,1,1,55059,0,1,"500 MOUNTAIN TOP DRIVE,ASHEBORO,NC,27203",2021-10-01,Randolph,151,37151,1321,603,216,61,2201
45806,345024,CLAPPS NURSING CENTER INC,5229 APPOMATTOX ROAD,PLEASANT GARDEN,NC,27313,3366742252,400,Guilford,For profit - Individual,118,79.2,,Medicare and Medicaid,N,"CLAPP'S NURSING CENTER, INC.",1976-10-01,N,,N,N,N,Resident,Yes,4,,4,,4,,4,,4,,2,,2,,,,2.2733,1.17195,0.37725,1.54920,3.82250,0.11948,2.10079,0.69265,0.31369,3.10712,2.22533,1.25424,0.45891,3.91133,2019-11-21,0,0,0,0,0,0,0,2018-11-29,6,6,0,28,1,0,28,2017-12-07,4,4,0,16,1,0,16,12.000,0,0,0,0,0,0,0,"5229 APPOMATTOX ROAD,PLEASANT GARDEN,NC,27313",2021-10-01,Guilford,81,37081,1260,650,209,66,2185
45811,345026,ROYAL PARK REHAB & HEALTH CTR OF MATTHEWS,2700 ROYAL COMMONS LANE,MATTHEWS,NC,28105,7048496990,590,Mecklenburg,For profit - Corporation,169,108.6,,Medicare and Medicaid,N,"LIBERTY HEALTHCARE GROUP, LLC",1967-01-04,N,,N,Y,N,Resident,Yes,4,,4,,3,,3,,4,,2,,2,,,,1.71682,1.12484,0.42794,1.55278,3.26960,0.08863,2.14207,0.77281,0.41888,3.33376,1.64820,1.07895,0.38984,3.11814,2019-08-02,3,3,1,12,1,0,12,2018-08-23,3,3,0,16,2,8,24,2017-06-08,2,2,0,16,1,0,16,16.667,0,1,0,1,1057,0,1,"2700 ROYAL COMMONS LANE,MATTHEWS,NC,28105",2021-10-01,Mecklenburg,119,37119,1305,855,325,67,2552
45816,345036,ELIZABETH CITY HEALTH AND REHABILITATION,1075 US HIGHWAY 17 SOUTH,ELIZABETH CITY,NC,27909,2523383975,690,Pasquotank,For profit - Corporation,146,122.1,,Medicare and Medicaid,N,"ELIZABETH CITY HEALTH AND REHABILITATION, LLC",1967-02-13,N,,N,Y,N,Resident,Yes,2,,3,,4,,5,,4,,1,,1,,,,2.14359,1.06406,0.35421,1.41826,3.56185,0.07864,2.20996,0.90401,0.49362,3.60759,1.99470,0.87252,0.27381,3.13902,2019-06-27,8,6,2,40,1,0,40,2018-06-28,5,5,0,20,1,0,20,2017-05-18,2,1,1,24,1,0,24,30.667,0,3,2,1,3250,0,1,"1075 US HIGHWAY 17 SOUTH,ELIZABETH CITY,NC,27909",2021-10-01,Pasquotank,139,37139,1832,909,303,67,3111
45821,345039,SUMMERSTONE HEALTH AND REHABILITATION CENTER,485 VETERANS WAY,KERNERSVILLE,NC,27284,3365153000,330,Forsyth,For profit - Corporation,120,77.8,,Medicare and Medicaid,N,"LIBERTY HEALTHCARE GROUP, LLC",1978-01-01,N,,N,N,N,Resident,Yes,1,,1,,2,,1,,4,,1,,1,,,,1.95711,1.15677,0.24457,1.40134,3.35845,0.13275,2.21106,0.82526,0.45840,3.49472,1.82026,1.03906,0.20359,3.05536,2021-05-27,18,13,11,92,1,0,92,2019-04-26,7,3,4,145,1,0,145,2018-03-22,9,8,1,48,1,0,48,102.333,1,19,1,3,94241,0,3,"485 VETERANS WAY,KERNERSVILLE,NC,27284",2021-10-01,Forsyth,67,37067,1066,630,133,72,1901
45826,345044,SAINT JOSEPH OF THE PINES HEALTH CENTER,103 GOSSMAN DRIVE,PINEHURST,NC,28374,9102461000,620,Moore,Non profit - Corporation,176,51.4,,Medicare and Medicaid,N,"ST. JOSEPH OF THE PINES, INC",1968-01-29,Y,,N,N,N,Resident,Yes,2,,1,,3,,2,,3,,4,,4,,,,3.1141,1.01292,1.00272,2.01564,5.12974,0.11248,2.14915,0.77960,0.40550,3.33425,2.97979,0.96314,0.94358,4.89139,2021-07-14,9,8,0,190,1,0,190,2019-05-02,11,7,4,44,1,0,44,2018-03-08,17,14,3,80,1,0,80,123.000,0,10,1,1,82300,0,1,"103 GOSSMAN DRIVE,PINEHURST,NC,28374",2021-10-01,Moore,125,37125,1120,364,361,40,1885
45831,345045,THE FOLEY CENTER AT CHESTNUT RIDGE,621 CHESTNUT RIDGE PARKWAY,BLOWING ROCK,NC,28605,8283863300,940,Watauga,For profit - Limited Liability company,92,76.9,,Medicare and Medicaid,N,"LIBERTY HEALTHCARE GROUP, LLC",1968-01-15,N,,N,N,N,Resident,Yes,4,,4,,3,,2,,4,,3,,3,,,,2.07057,1.16797,0.66161,1.82957,3.90014,0.08451,2.01449,0.72757,0.36290,3.10496,2.11370,1.18998,0.69568,3.99356,2021-07-29,2,2,0,12,1,0,12,2019-05-31,2,2,0,12,1,0,12,2018-06-28,3,3,0,12,1,0,12,12.000,0,0,0,0,0,0,0,"621 CHESTNUT RIDGE PARKWAY,BLOWING ROCK,NC,28605",2021-10-01,Watauga,189,37189,1115,629,356,45,2145
45836,345048,MOUNTAIN RIDGE HEALTH AND REHAB,611 OLD US HIGHWAY 70 EAST,BLACK MOUNTAIN,NC,28711,8286699991,100,Buncombe,For profit - Corporation,97,86.3,,Medicare and Medicaid,N,"REGENCY CARE OF BLACK MOUNTAIN, LLC",1978-09-01,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,5,,2,,2,,,,2.09691,0.8642,0.55067,1.41488,3.51179,0.0593,2.13452,0.84893,0.44736,3.43081,2.02022,0.75463,0.46971,3.25438,2021-05-06,4,4,0,12,1,0,12,2019-09-06,0,0,0,0,0,0,0,2018-08-23,6,6,0,24,1,0,24,10.000,0,0,0,0,0,0,0,"611 OLD US HIGHWAY 70 EAST,BLACK MOUNTAIN,NC,28711",2021-10-01,Buncombe,21,37021,1267,522,333,36,2158
45841,345049,RALEIGH REHABILITATION CENTER,616 WADE AVENUE,RALEIGH,NC,27605,9198286251,910,Wake,For profit - Corporation,157,76.5,,Medicare and Medicaid,N,RALEIGH REHABILITATION CENTER LLC,1972-10-01,N,,N,N,N,Resident,Yes,1,,2,,4,,4,,4,,1,,1,,,,1.96812,1.24472,0.34464,1.58937,3.55748,0.17916,2.00448,0.79247,0.42057,3.21752,2.01915,1.16433,0.31270,3.51526,2021-07-16,10,8,3,56,0,0,56,2019-12-05,5,5,0,24,1,0,24,2019-02-28,13,9,7,68,1,0,68,47.333,0,18,2,2,22239,0,2,"616 WADE AVENUE,RALEIGH,NC,27605",2021-10-01,Wake,183,37183,1054,667,185,96,2002
45846,345050,JACOB'S CREEK NURSING AND REHABILITATION CENTER,1721 BALD HILL LOOP,MADISON,NC,27025,3365489658,780,Rockingham,For profit - Corporation,170,112.5,,Medicare and Medicaid,N,"GRANITE FALLS LTC, LLC",1968-05-08,N,,N,N,N,Resident,Yes,2,,3,,4,,3,,4,,1,,1,,,,2.26289,1.02994,0.32893,1.35887,3.62176,0.04455,2.06102,0.83121,0.44012,3.33235,2.25787,0.91852,0.28518,3.45545,2020-03-12,9,8,2,32,1,0,32,2019-03-28,8,8,1,36,1,0,36,2018-02-22,3,2,1,20,1,0,20,31.333,1,2,0,1,49740,0,1,"1721 BALD HILL LOOP,MADISON,NC,27025",2021-10-01,Rockingham,157,37157,1782,811,259,35,2887
45851,345051,ANSON HEALTH AND REHABILITATION,405 SOUTH GREENE STREET,WADESBORO,NC,28170,7046953301,030,Anson,For profit - Corporation,95,78.8,,Medicare and Medicaid,N,ANSON HEALTH AND REHABILITATION,1968-10-01,N,,N,Y,N,Resident,Yes,3,,2,,5,,3,,5,,2,,2,,,,2.03778,0.95132,0.53854,1.48986,3.52764,0.08727,2.11658,0.86761,0.46869,3.45288,1.97989,0.81281,0.43845,3.24817,2019-09-19,8,8,1,32,1,0,32,2018-09-07,11,11,0,52,1,0,52,2017-10-26,13,13,0,56,1,0,56,42.667,2,1,0,0,0,0,0,"405 SOUTH GREENE STREET,WADESBORO,NC,28170",2021-10-01,Anson,7,37007,1124,525,297,48,1994
45856,345053,PETTIGREW REHABILITATION CENTER,1515 W PETTIGREW STREET,DURHAM,NC,27705,9192860751,310,Durham,For profit - Corporation,96,57.3,,Medicare and Medicaid,N,PETTIGREW REHABILITATION CENTER LLC,1969-01-19,N,,N,Y,N,Resident,Yes,3,,2,,5,,5,,5,,3,,3,,,,2.02861,0.78688,0.57616,1.36303,3.39165,0.13423,1.96636,0.75476,0.36149,3.08261,2.12156,0.77283,0.60819,3.49806,2019-07-11,4,4,0,24,1,0,24,2018-07-12,7,4,1,136,1,0,136,2017-06-15,4,3,1,20,1,0,20,60.667,0,3,2,1,13905,0,1,"1515 W PETTIGREW STREET,DURHAM,NC,27705",2021-10-01,Durham,63,37063,814,316,231,54,1415
45861,345054,WOODHAVEN NURS & ALZHEIMER'S C,1150 PINE RUN DRIVE,LUMBERTON,NC,28358,9106715703,770,Robeson,Non profit - Corporation,115,81.7,,Medicare and Medicaid,Y,SOUTHEASTERN REGIONAL MEDICAL CENTER,1969-05-15,N,,N,Y,N,Both,Yes,2,,2,,2,,3,,1,,3,,2,,,,2.37103,1.35594,0.48302,1.83896,4.20999,0.0,2.00473,0.74251,0.37486,3.12209,2.43222,1.35371,0.49169,4.28717,2019-08-29,1,1,0,4,1,0,4,2018-07-27,19,17,2,112,1,0,112,2017-08-10,4,4,0,40,1,0,40,46.000,0,2,0,1,1625,0,1,"1150 PINE RUN DRIVE,LUMBERTON,NC,28358",2021-10-01,Robeson,155,37155,1356,775,276,0,2407
45866,345061,PRUITTHEALTH-DURHAM,3100 ERWIN ROAD,DURHAM,NC,27705,9193831546,310,Durham,For profit - Corporation,125,82.8,,Medicare and Medicaid,N,"PRUITTHEALTH - DURHAM, LLC",1969-12-01,N,,N,N,N,Resident,Yes,2,,2,,3,,2,,4,,2,,2,,,,1.30821,1.06873,0.32854,1.39727,2.70548,0.0805,2.00298,0.73547,0.36803,3.10649,1.34314,1.07717,0.34064,2.76891,2021-07-23,5,3,2,44,0,0,44,2019-05-02,11,9,1,60,1,0,60,2018-03-29,7,7,0,32,1,0,32,47.333,0,12,1,2,238606,0,2,"3100 ERWIN ROAD,DURHAM,NC,27705",2021-10-01,Durham,63,37063,758,619,190,47,1614
45871,345063,ACCORDIUS HEALTH AT WILSON,1804 FOREST HILLS ROAD W,WILSON,NC,27893,2522378161,970,Wilson,For profit - Corporation,110,59.8,,Medicare and Medicaid,N,ACCORDIUS HEALTH AT WILSON LLC,1972-04-01,N,,N,N,N,None,Yes,2,,1,,5,,5,,4,,2,,2,,,,2.18305,0.87918,0.36367,1.24285,3.42590,0.02387,1.99321,0.80001,0.42979,3.22301,2.25232,0.81464,0.32288,3.37947,2021-04-16,16,15,4,100,2,50,150,2019-09-13,6,2,3,28,1,0,28,2018-10-04,0,0,0,0,0,0,0,84.333,0,6,1,1,5000,1,2,"1804 FOREST HILLS ROAD W,WILSON,NC,27893",2021-10-01,Wilson,195,37195,914,368,152,10,1444
45876,345066,ALSTON BROOK,4748 OLD SALISBURY ROAD,LEXINGTON,NC,27295,3369561132,280,Davidson,For profit - Corporation,100,74.4,,Medicare and Medicaid,N,"GOLDEN AGE OF LEXINGTON, INC.",1970-04-07,N,,N,Y,N,Resident,Yes,3,,3,,4,,2,,5,,3,,1,,,,3.15213,1.40552,0.36894,1.77446,4.92659,0.0369,2.20508,0.78964,0.44934,3.44406,2.93968,1.31944,0.31331,4.54790,2019-06-13,5,5,0,20,1,0,20,2018-06-28,9,6,3,36,1,0,36,2017-06-08,0,0,0,0,0,0,0,22.000,0,2,0,0,0,0,0,"4748 OLD SALISBURY ROAD,LEXINGTON,NC,27295",2021-10-01,Davidson,57,37057,1642,732,192,19,2585
45881,345070,DURHAM NURSING & REHABILITATION CENTER,411 S LASALLE STREET,DURHAM,NC,27705,9193835521,310,Durham,For profit - Limited Liability company,126,86.8,,Medicare and Medicaid,N,DURHAM REHAB OPERATIONS LLC,1973-09-01,N,,N,N,N,Resident,Yes,1,,1,,2,,4,,1,,1,,1,,,,1.89863,1.07329,0.30923,1.38252,3.28115,0.00745,2.06039,0.76475,0.38327,3.20842,1.89501,1.04035,0.30787,3.25140,2021-06-25,1,0,1,75,0,0,75,2019-06-06,9,6,2,190,1,0,190,2018-05-17,3,2,1,52,1,0,52,109.500,3,1,1,3,109592,0,3,"411 S LASALLE STREET,DURHAM,NC,27705",2021-10-01,Durham,63,37063,1154,652,188,5,1999
